HJD,Detr_Norm_Flux
2454974.197588,1.000030
2454974.218022,1.000018
2454974.238457,0.999909
2454974.258891,1.000237
2454974.279326,0.999938
2454974.299760,1.000129
2454974.320194,0.999948
2454974.340629,1.000017
2454974.361063,0.999919
2454974.381498,0.999854
2454974.401932,0.999905
2454974.422367,0.999872
2454974.442801,0.999912
2454974.463235,0.999920
2454974.483670,1.000064
2454974.504104,0.999918
2454974.524539,0.999891
2454974.544973,0.999870
2454974.565408,0.999937
2454974.585842,1.000108
2454974.606277,0.999895
2454974.626711,0.999974
2454974.647145,1.000041
2454974.667580,1.000006
2454974.688014,0.999883
2454974.708449,1.000036
2454974.728883,1.000016
2454974.749318,1.000003
2454974.769752,1.000149
2454974.790186,0.999994
2454974.810621,1.000029
2454974.831055,0.999914
2454974.851490,0.999939
2454974.871924,1.000010
2454974.892359,1.000046
2454974.912793,0.999882
2454974.933228,1.000030
2454974.953662,0.999804
2454974.974096,0.999838
2454974.994531,0.999972
2454975.014965,0.999948
2454975.035400,1.000148
2454975.055834,1.000160
2454975.076269,1.000088
2454975.096703,1.000023
2454975.117137,1.000051
2454975.137572,1.000007
2454975.158006,0.999902
2454975.178441,1.000007
2454975.198875,0.999887
2454975.219310,0.999990
2454975.239744,0.999814
2454975.260178,1.000098
2454975.280613,0.999966
2454975.301047,1.000078
2454975.321482,1.000157
2454975.341916,1.000101
2454975.362351,0.999923
2454975.382785,0.999997
2454975.403219,1.000039
2454975.423654,0.999862
2454975.444088,0.999809
2454975.464523,1.000006
2454975.484957,1.000073
2454975.505392,1.000049
2454975.525826,0.999883
2454975.546261,0.999943
2454975.566695,0.999972
2454975.587129,0.999990
2454975.607564,1.000053
2454975.627998,0.999907
2454975.648433,1.000011
2454975.668867,0.999952
2454975.689302,0.999963
2454975.709736,0.999901
2454975.730170,1.000003
2454975.750605,0.999820
2454975.771039,0.999913
2454975.791474,1.000074
2454975.811908,0.999892
2454975.832343,1.000018
2454975.852777,1.000065
2454975.873212,0.999956
2454975.893646,1.000026
2454975.914080,0.999988
2454975.934515,1.000001
2454975.954949,1.000045
2454975.975384,0.999905
2454975.995818,0.999878
2454976.016253,0.999929
2454976.036687,0.999953
2454976.057121,0.999972
2454976.077556,0.999860
2454976.097990,0.999917
2454976.118425,0.999957
2454976.138859,0.999913
2454976.159294,0.999929
2454976.179728,0.999890
2454976.200162,0.999890
2454976.220597,0.999989
2454976.241031,0.999922
2454976.261466,0.999934
2454976.281900,0.999977
2454976.302335,1.000050
2454976.322769,0.999961
2454976.363638,0.999982
2454976.384072,0.999976
2454976.404507,1.000083
2454976.424941,1.000071
2454976.445376,0.999997
2454976.465810,0.999910
2454976.486244,1.000129
2454976.506679,1.000063
2454976.527113,0.999881
2454976.547548,0.999949
2454976.567982,0.999999
2454976.588417,1.000068
2454976.608851,1.000086
2454976.629286,1.000002
2454976.649720,0.999891
2454976.670155,0.999925
2454976.690589,1.000120
2454976.711023,0.999934
2454976.731458,0.999814
2454976.751892,1.000013
2454976.772327,0.999925
2454976.792761,0.999976
2454976.813195,0.999950
2454976.833630,0.999897
2454976.854064,0.999944
2454976.874499,0.999883
2454976.894933,1.000053
2454976.915368,0.999974
2454976.935802,0.999811
2454976.956237,0.995729
2454976.976671,0.993480
2454976.997105,0.992937
2454977.017540,0.992495
2454977.037974,0.992423
2454977.058409,0.992700
2454977.078843,0.992775
2454977.099278,0.993074
2454977.119712,0.993831
2454977.140146,0.996515
2454977.160581,1.000109
2454977.181015,1.000291
2454977.201450,1.000102
2454977.221884,1.000054
2454977.242319,0.999894
2454977.262753,1.000058
2454977.283187,1.000117
2454977.303622,1.000071
2454977.324056,1.000152
2454977.344491,0.999982
2454977.364925,0.999816
2454977.385360,0.999917
2454977.405794,0.999770
2454977.426229,0.999949
2454977.446663,1.000090
2454977.467097,0.999903
2454977.487532,0.999906
2454977.507966,1.000098
2454977.528401,1.000017
2454977.548835,0.999891
2454977.569270,1.000104
2454977.589704,0.999909
2454977.610138,0.999663
2454977.630573,1.000011
2454977.651007,0.999883
2454977.671442,0.999878
2454977.691876,0.999909
2454977.712311,1.000086
2454977.732745,0.999817
2454977.753180,0.999796
2454977.773614,0.999883
2454977.794048,0.999937
2454977.814483,0.999981
2454977.834917,1.000115
2454977.855352,0.999981
2454977.875786,1.000067
2454977.896220,0.999912
2454977.916655,0.999977
2454977.937089,0.999961
2454977.957524,1.000103
2454977.977958,0.999966
2454977.998393,0.999791
2454978.018827,1.000033
2454978.039262,0.999993
2454978.059696,0.999987
2454978.080130,0.999988
2454978.100565,1.000005
2454978.120999,1.000101
2454978.141434,0.999946
2454978.161868,0.999908
2454978.182303,0.999928
2454978.202737,0.999966
2454978.223172,1.000058
2454978.243606,0.999912
2454978.264040,0.999871
2454978.284475,1.000218
2454978.304909,0.999946
2454978.325344,1.000017
2454978.345778,0.999970
2454978.366213,0.999895
2454978.386647,1.000005
2454978.407081,0.999971
2454978.427516,1.000075
2454978.447950,0.999767
2454978.468385,0.999876
2454978.488819,1.000171
2454978.509254,0.999967
2454978.529688,1.000134
2454978.550122,0.999998
