,HJD,Detr_Norm_Flux
903,2454973.3802099996,
904,2454973.400645,0.999915
905,2454973.421079,1.00004
906,2454973.441514,0.9999040000000001
907,2454973.461948,
908,2454973.482383,0.999926
909,2454973.502817,0.9999620000000001
910,2454973.523251,
911,2454973.543686,0.9998319999999999
912,2454973.56412,1.00014
913,2454973.584555,1.0000360000000001
914,2454973.604989,1.000006
915,2454973.625424,0.99987
916,2454973.645858,0.999986
917,2454973.6662919996,1.0000040000000001
918,2454973.686727,0.9999520000000001
919,2454973.707161,1.000008
920,2454973.727596,0.999943
921,2454973.74803,0.999858
922,2454973.768465,
923,2454973.7888990003,0.9999379999999999
924,2454973.809334,1.0000209999999998
925,2454973.829768,0.999942
926,2454973.850203,1.0000069999999999
927,2454973.870637,1.000025
928,2454973.891071,0.9999379999999999
929,2454973.911506,1.0
930,2454973.93194,1.00007
931,2454973.952375,
932,2454973.972809,
933,2454973.993243,1.000178
934,2454974.013678,1.000022
935,2454974.034112,1.0000440000000002
936,2454974.054547,0.999857
937,2454974.0749810003,0.9999950000000001
938,2454974.095416,0.9999899999999999
